H. Buiteveld and J. M. H. Hakvoort and M. Donze, "The optical properties
of pure water," in SPIE Proceedings on Ocean Optics XII, edited by J. S.
Jaffe, 2258, 174--183, (1994).

lambda	 absorption
 (nm) 	   (1/cm)   
   3.0000000e+02   3.8200000e-04
   3.0400000e+02   3.4100000e-04
   3.0800000e+02   3.0500000e-04
   3.1200000e+02   2.7200000e-04
   3.1600000e+02   2.4200000e-04
   3.2000000e+02   2.1500000e-04
   3.2400000e+02   1.9100000e-04
   3.2800000e+02   1.7000000e-04
   3.3200000e+02   1.5100000e-04
   3.3600000e+02   1.3400000e-04
   3.4000000e+02   1.1900000e-04
   3.4400000e+02   1.0700000e-04
   3.4800000e+02   9.6000000e-05
   3.5200000e+02   8.6000000e-05
   3.5600000e+02   7.8000000e-05
   3.6000000e+02   7.1000000e-05
   3.6400000e+02   6.6000000e-05
   3.6800000e+02   6.2000000e-05
   3.7200000e+02   5.8000000e-05
   3.7600000e+02   5.6000000e-05
   3.8000000e+02   5.4000000e-05
   3.8400000e+02   5.3000000e-05
   3.8800000e+02   5.3000000e-05
   3.9200000e+02   5.4000000e-05
   3.9600000e+02   5.5000000e-05
   4.0000000e+02   5.8000000e-05
   4.0400000e+02   6.1000000e-05
   4.0800000e+02   6.5000000e-05
   4.1200000e+02   6.9000000e-05
   4.1600000e+02   7.4000000e-05
   4.2000000e+02   7.9000000e-05
   4.2400000e+02   8.4000000e-05
   4.2800000e+02   8.9000000e-05
   4.3200000e+02   9.4000000e-05
   4.3600000e+02   9.9000000e-05
   4.4000000e+02   1.0400000e-04
   4.4400000e+02   1.0800000e-04
   4.4800000e+02   1.1200000e-04
   4.5200000e+02   1.1600000e-04
   4.5600000e+02   1.2000000e-04
   4.6000000e+02   1.2400000e-04
   4.6400000e+02   1.2800000e-04
   4.6800000e+02   1.3300000e-04
   4.7200000e+02   1.3800000e-04
   4.7600000e+02   1.4400000e-04
   4.8000000e+02   1.5200000e-04
   4.8400000e+02   1.6200000e-04
   4.8800000e+02   1.7400000e-04
   4.9200000e+02   1.8900000e-04
   4.9600000e+02   2.0900000e-04
   5.0000000e+02   2.3800000e-04
   5.0400000e+02   2.7300000e-04
   5.0800000e+02   3.1000000e-04
   5.1200000e+02   3.4900000e-04
   5.1600000e+02   3.8600000e-04
   5.2000000e+02   4.0900000e-04
   5.2400000e+02   4.0900000e-04
   5.2800000e+02   4.2300000e-04
   5.3200000e+02   4.4500000e-04
   5.3600000e+02   4.7000000e-04
   5.4000000e+02   4.9500000e-04
   5.4400000e+02   5.2700000e-04
   5.4800000e+02   5.6400000e-04
   5.5200000e+02   6.1100000e-04
   5.5600000e+02   6.4600000e-04
   5.6000000e+02   6.7200000e-04
   5.6400000e+02   6.9900000e-04
   5.6800000e+02   7.3400000e-04
   5.7200000e+02   7.8700000e-04
   5.7600000e+02   8.5800000e-04
   5.8000000e+02   9.5200000e-04
   5.8400000e+02   1.0790000e-03
   5.8800000e+02   1.2530000e-03
   5.9200000e+02   1.4590000e-03
   5.9600000e+02   1.7000000e-03
   6.0000000e+02   2.2240000e-03
   6.0400000e+02   2.4480000e-03
   6.0800000e+02   2.6530000e-03
   6.1200000e+02   2.7150000e-03
   6.1600000e+02   2.7640000e-03
   6.2000000e+02   2.8100000e-03
   6.2400000e+02   2.8680000e-03
   6.2800000e+02   2.9220000e-03
   6.3200000e+02   2.9880000e-03
   6.3600000e+02   3.0380000e-03
   6.4000000e+02   3.1110000e-03
   6.4400000e+02   3.1810000e-03
   6.4800000e+02   3.2630000e-03
   6.5200000e+02   3.3620000e-03
   6.5600000e+02   3.5080000e-03
   6.6000000e+02   3.7910000e-03
   6.6400000e+02   4.0190000e-03
   6.6800000e+02   4.0980000e-03
   6.7200000e+02   4.1500000e-03
   6.7600000e+02   4.2230000e-03
   6.8000000e+02   4.3180000e-03
   6.8400000e+02   4.4580000e-03
   6.8800000e+02   4.6460000e-03
   6.9200000e+02   4.9030000e-03
   6.9600000e+02   5.2440000e-03
   7.0000000e+02   5.7220000e-03
   7.0400000e+02   6.3030000e-03
   7.0800000e+02   6.9930000e-03
   7.1200000e+02   7.8930000e-03
   7.1600000e+02   9.1090000e-03
   7.2000000e+02   1.0724000e-02
   7.2400000e+02   1.2684000e-02
   7.2800000e+02   1.4870000e-02
   7.3200000e+02   1.7872000e-02
   7.3600000e+02   2.2074000e-02
   7.4000000e+02   2.5319000e-02
   7.4400000e+02   2.6723000e-02
   7.4800000e+02   2.7216000e-02
   7.5200000e+02   2.7413000e-02
   7.5600000e+02   2.7542000e-02
   7.6000000e+02   2.7710000e-02
   7.6400000e+02   2.7742000e-02
   7.6800000e+02   2.7610000e-02
   7.7200000e+02   2.7482000e-02
   7.7600000e+02   2.7097000e-02
   7.8000000e+02   2.6590000e-02
   7.8400000e+02   2.6062000e-02
   7.8800000e+02   2.5335000e-02
   7.9200000e+02   2.4481000e-02
   7.9600000e+02   2.3742000e-02
   8.0000000e+02   2.2932000e-02
